Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,10868.849609,10895.349609,10735.049805,10792.500000,10792.500000,309700
2019-01-03,10796.799805,10814.049805,10661.250000,10672.250000,10672.250000,286200
2019-01-04,10699.700195,10741.049805,10628.650391,10727.349609,10727.349609,296600
2019-01-07,10804.849609,10835.950195,10750.150391,10771.799805,10771.799805,269400
2019-01-08,10786.250000,10818.450195,10733.250000,10802.150391,10802.150391,277700
2019-01-09,10862.400391,10870.400391,10749.400391,10855.150391,10855.150391,333000
2019-01-10,10859.349609,10859.349609,10801.799805,10821.599609,10821.599609,254400
2019-01-11,10834.750000,10850.150391,10739.400391,10794.950195,10794.950195,260800
2019-01-14,10807.000000,10808.000000,10692.349609,10737.599609,10737.599609,298800
2019-01-15,10777.549805,10896.950195,10777.549805,10886.799805,10886.799805,310700
2019-01-16,10899.650391,10928.150391,10876.900391,10890.299805,10890.299805,276500
2019-01-17,10920.849609,10930.650391,10844.650391,10905.200195,10905.200195,271700
2019-01-18,10914.849609,10928.200195,10852.200195,10906.950195,10906.950195,323800
2019-01-21,10919.349609,10987.450195,10885.750000,10961.849609,10961.849609,288800
2019-01-22,10949.799805,10949.799805,10864.150391,10922.750000,10922.750000,300800
2019-01-23,10931.049805,10944.799805,10811.950195,10831.500000,10831.500000,298900
2019-01-24,10844.049805,10866.599609,10798.650391,10849.799805,10849.799805,361100
2019-01-25,10859.750000,10931.700195,10756.450195,10780.549805,10780.549805,463400
2019-01-28,10792.450195,10804.450195,10630.950195,10661.549805,10661.549805,419700
2019-01-29,10653.700195,10690.349609,10583.650391,10652.200195,10652.200195,356900
2019-01-30,10702.250000,10710.200195,10612.849609,10651.799805,10651.799805,410100
2019-01-31,10690.549805,10838.049805,10678.549805,10830.950195,10830.950195,604800
2019-02-01,10851.349609,10983.450195,10813.450195,10893.650391,10893.650391,482300
2019-02-04,10876.750000,10927.900391,10814.150391,10912.250000,10912.250000,318300
2019-02-05,10908.650391,10956.700195,10886.700195,10934.349609,10934.349609,268100
2019-02-06,10965.099609,11072.599609,10962.700195,11062.450195,11062.450195,298500
2019-02-07,11070.450195,11118.099609,11043.599609,11069.400391,11069.400391,263500
2019-02-08,11023.500000,11041.200195,10925.450195,10943.599609,10943.599609,352800
2019-02-11,10930.900391,10930.900391,10857.099609,10888.799805,10888.799805,286000
2019-02-12,10879.700195,10910.900391,10823.799805,10831.400391,10831.400391,292300
2019-02-14,10786.099609,10792.700195,10718.750000,10746.049805,10746.049805,627000
2019-02-15,10780.250000,10785.750000,10620.400391,10724.400391,10724.400391,521900
2019-02-18,10738.650391,10759.900391,10628.400391,10640.950195,10640.950195,345400
2019-02-19,10636.700195,10722.849609,10585.650391,10604.349609,10604.349609,291500
2019-02-20,10655.450195,10752.700195,10646.400391,10735.450195,10735.450195,289200
2019-02-21,10744.099609,10808.849609,10721.500000,10789.849609,10789.849609,279600
2019-02-22,10782.700195,10801.549805,10758.400391,10791.650391,10791.650391,396800
2019-02-25,10813.250000,10887.099609,10788.049805,10880.099609,10880.099609,385900
2019-02-26,10775.299805,10888.750000,10729.299805,10835.299805,10835.299805,415000
2019-02-27,10881.200195,10939.700195,10751.200195,10806.650391,10806.650391,381100
2019-02-28,10865.700195,10865.700195,10784.849609,10792.500000,10792.500000,644200
